Időpont,Tevékenység,Helyszín
7:30–8:30,Reggeli,Grand Hotel
9:00–16:00,Kirándulás,"Marosvásárhely, Erdőszentgyörgy, Szováta, Gernyeszeg, Marosszetgyörgy, Marosvásárhely"
13:00–14:00,Ebéd,"Teleki Oktatási Központ étterme, Szováta"
,,"Fehér ló étterem, Gernyeszeg"
16:00,Eredményhirdetés,Bolyai Farkas Elméleti Líceum és Református Kollégium hirdetője
16:00–17:00,Az óvások leadása,Bolyai Farkas Elméleti Líceum titkársága
18:00–19:00,Vacsora,Grand Hotel
19:00,Végleges eredményhirdetés,Bolyai Farkas Elméleti Líceum és Református Kollégium hirdetője
19:30–22:00,Táncház,Bolyai Farkas Elméleti Líceum és Református Kollégium tornaterme
20:00–22:00,Tanári megbeszélés,
